articleNo,articleName,tradeTypeName,floorInfo,rentPrc,dealOrWarrantPrc,area1,area2,direction,articleConfirmYmd,tagList,latitude,longitude
2523716820,단지내상가,월세,B1/3,45,500,22,22,남향,20250503,"['25년이상', '지하층', '주차가능', '총3층']",37.482674,127.05443
2523485071,일반상가,월세,1/4,320,"5,000",66,59,남향,20250502,"['25년이상', '역세권', '1층', '주차가능']",37.488861,127.067653
2523536501,일반상가,월세,1/5,150,"1,500",48,34,북향,20250502,"['25년이상', '융자금없는', '역세권', '1층']",37.488758,127.067327
2523411542,일반상가,월세,B1/4,250,"3,000",166,166,,20250502,"['25년이내', '지하층', '주차가능', '총4층']",37.475243,127.049206
2523555123,단지내상가,매매,1/3,,11억,10,8,남향,20250502,"['25년이상', '1층', '주차가능', '총3층']",37.482674,127.05443
2523453629,단지내상가,월세,1/1,300,"5,000",58,34,북서향,20250502,"['4년이내', '1층', '관리비20만원이하', '주차가능']",37.47864,127.053887
2523411918,일반상가,월세,4/5,350,"4,300",106,91,남향,20250502,"['2년이내', '고층', '주차가능', '총5층']",37.482769,127.061649
2523534811,단지내상가,월세,2/2,180,"3,000",62,23,동향,20250502,"['10년이내', '고층', '관리비20만원이하', '주차가능']",37.484072,127.067571
2523316464,복합상가,매매,1/10,,"4억 3,000",29,11,남동향,20250502,"['4년이내', '1층', '주차가능', '엘리베이터']",37.478506,127.055447
2523233416,단지내상가,월세,1/10,100,"2,000",20,11,남향,20250502,"['4년이내', '1층', '관리비20만원이하', '주차가능']",37.478506,127.055447
2523555570,일반상가,월세,1/6,160,"3,000",49,39,북향,20250502,"['25년이내', '융자금적은', '1층', '주차가능']",37.478775,127.048769
2523571611,단지내상가,매매,2/2,,"6억 5,000",11,11,서향,20250502,"['25년이내', '고층', '주차가능', '총2층']",37.484519,127.054179
2523509449,일반상가,월세,2/4,250,"3,000",98,98,북향,20250502,"['25년이상', '중층', '관리비10만원이하', '주차가능']",37.482887,127.06093
2523327440,일반상가,월세,B1/4,275,"4,000",332,265,남향,20250502,"['25년이상', '역세권', '지하층', '주차가능']",37.488978,127.068242
2523614165,복합상가,월세,2/5,200,"2,000",122,122,남향,20250502,"['25년이상', '중층', '관리비10만원이하', '주차가능']",37.47925,127.047731
2523510424,일반상가,월세,1/4,140,"3,000",28,28,북서향,20250502,"['25년이상', '1층', '관리비10만원이하', '주차가능']",37.482861,127.062115
2523568327,일반상가,월세,2/4,370,"5,000",135,115,남동향,20250502,"['25년이상', '중층', '주차가능', '총4층']",37.482874,127.06238
2523288721,일반상가,월세,7/17,470,"5,500",186,153,북향,20250502,"['10년이내', '역세권', '중층', '주차가능']",37.489041,127.067178
2523505707,복합상가,월세,2/26,45,500,20,10,남서향,20250502,"['25년이상', '융자금없는', '역세권', '지상층(1층제외)']",37.494349,127.079639
2523459377,복합상가,월세,1/7,326,"5,000",85,49,북향,20250502,"['25년이내', '융자금없는', '1층', '주차가능']",37.478438,127.046439
2523564829,일반상가,월세,1/5,350,"5,000",86,66,서향,20250502,"['25년이상', '1층', '주차가능', '총5층']",37.477889,127.048436
2523441619,복합상가,월세,1/5,200,"2,000",25,25,북향,20250502,"['25년이상', '역세권', '1층', '관리비20만원이하']",37.488617,127.06778
2523290302,단지내상가,월세,1/10,160,"1,000",51,19,남동향,20250502,"['4년이내', '융자금없는', '1층', '관리비20만원이하']",37.478506,127.055447
2523477466,일반상가,월세,1/4,210,"2,000",70,64,남동향,20250502,"['25년이상', '1층', '주차가능', '총4층']",37.48333,127.062435
2523408164,일반상가,월세,1/4,700,"7,000",124,124,남향,20250502,"['25년이상', '1층', '주차가능', '총4층']",37.482874,127.06238
2523612476,일반상가,월세,4/4,110,"2,000",56,56,남향,20250502,"['25년이상', '고층', '관리비20만원이하', '주차가능']",37.474878,127.053259
2523509125,일반상가,월세,1/4,140,"2,000",25,25,북동향,20250502,"['25년이상', '융자금없는', '1층', '관리비10만원이하']",37.482993,127.060801
2523343794,일반상가,월세,1/5,160,"4,000",106,106,남서향,20250502,"['25년이상', '1층', '관리비20만원이하', '주차가능']",37.477672,127.04866
2523308671,일반상가,월세,1/4,220,"5,000",93,92,남향,20250502,"['25년이상', '1층', '주차가능', '총4층']",37.477771,127.046376
2523290564,일반상가,월세,1/6,160,"3,000",48,48,북서향,20250501,"['25년이내', '1층', '주차가능', '북서향']",37.478753,127.048563
2523048862,단지내상가,월세,1/1,670,1억,105,60,북서향,20250430,"['4년이내', '1층', '관리비20만원이하', '주차가능']",37.47864,127.053887
2523130735,일반상가,월세,5/5,350,"4,400",90,78,남향,20250430,"['2년이내', '융자금없는', '고층', '주차가능']",37.482769,127.061649
2523099506,일반상가,월세,1/5,250,"3,000",74,40,남향,20250430,"['2년이내', '테라스', '1층', '관리비20만원이하']",37.482769,127.061649
2523022367,단지내상가,매매,3/5,,"6억 9,000",65,41,남서향,20250430,"['25년이상', '역세권', '중층', '총5층']",37.488758,127.067327
2523130564,일반상가,월세,1/5,200,"2,000",36,25,북향,20250430,"['25년이상', '역세권', '1층', '엘리베이터']",37.488617,127.06778
2523170524,일반상가,월세,B1/6,110,"1,000",99,82,남향,20250430,"['25년이상', '지하층', '관리비10만원이하', '주차가능']",37.479195,127.049314
2523024673,일반상가,월세,2/4,300,"5,000",90,82,남동향,20250430,"['25년이상', '융자금없는', '중층', '관리비20만원이하']",37.482874,127.06238
2523099039,일반상가,매매,4/6,,"7억 5,000",68,47,동향,20250430,"['25년이상', '역세권', '중층', '주차가능']",37.48919,127.06796
2523028661,일반상가,월세,1/5,130,"1,500",34,34,동향,20250430,"['25년이상', '1층', '관리비20만원이하', '주차가능']",37.47947,127.048348
2523136117,일반상가,월세,B1/3,150,"3,000",98,98,동향,20250430,"['25년이상', '지하층', '주차가능', '총3층']",37.482887,127.06093
2523128749,일반상가,월세,1/5,280,"3,500",74,42,남향,20250430,"['2년이내', '융자금없는', '1층', '관리비20만원이하']",37.482769,127.061649
2523010988,일반상가,월세,1/6,220,"2,000",46,39,북향,20250430,"['25년이상', '역세권', '1층', '관리비20만원이하']",37.489118,127.067521
2523215535,일반상가,월세,1/3,65,"1,000",40,33,북서향,20250430,"['25년이상', '1층', '관리비10만원이하', '총3층']",37.474003,127.0517
2523123091,일반상가,월세,1/4,210,"2,000",64,64,남동향,20250430,"['25년이상', '1층', '주차가능', '총4층']",37.48333,127.062435
2523157211,일반상가,월세,1/3,55,"1,000",26,26,북서향,20250430,"['25년이상', '테라스', '1층', '관리비10만원이하']",37.474003,127.0517
2523057555,일반상가,월세,2/4,359,"4,400",106,91,남동향,20250430,"['2년이내', '중층', '주차가능', '엘리베이터']",37.482769,127.061649
2522139216,단지내상가,월세,3/3,"1,000",1억,300,224,남향,20250429,"['25년이상', '고층', '주차가능', '총3층']",37.482674,127.05443
2522825780,단지내상가,매매,B1/2,,"6억 5,000",9,9,남향,20250429,"['10년이내', '지하층', '주차가능', '총2층']",37.483975,127.056019
2522800955,일반상가,월세,2/4,100,"2,000",114,114,남동향,20250429,"['25년이상', '중층', '주차가능', '총4층']",37.483198,127.060848
2522863154,일반상가,월세,1/5,"1,100",1억,449,211,서향,20250429,"['25년이상', '1층', '주차가능', '엘리베이터']",37.476576,127.047254
2522880985,일반상가,월세,2/5,900,1억,479,251,서향,20250429,"['25년이상', '중층', '주차가능', '엘리베이터']",37.476576,127.047254
2522793253,일반상가,월세,B1/7,600,"5,000",106,106,동향,20250429,"['15년이내', '지하층', '주차가능', '엘리베이터']",37.483023,127.062593
2522826412,단지내상가,매매,1/2,,9억,9,9,남향,20250429,"['10년이내', '1층', '주차가능', '총2층']",37.482674,127.05443
2522801080,단지내상가,월세,1/1,330,"3,000",76,32,남향,20250429,"['10년이내', '1층', '주차가능', '천장에어컨']",37.4812,127.064435
2522923892,단지내상가,매매,B1/B1,,"2억 2,000",14,14,남서향,20250429,"['25년이상', '역세권', '지하층', '주차가능']",37.484829,127.057257
2523005819,일반상가,월세,1/4,650,1억,130,124,남동향,20250429,"['25년이상', '융자금없는', '1층', '관리비20만원이하']",37.482874,127.06238
2522779613,일반상가,월세,3/5,175,"2,100",36,36,남향,20250429,"['2년이내', '중층', '관리비20만원이하', '주차가능']",37.482769,127.061649
2522825409,단지내상가,매매,B1/2,,6억,10,10,서향,20250429,"['2년이내', '지하층', '주차가능', '총2층']",37.484519,127.054179
2522801564,일반상가,월세,1/4,160,"2,000",27,26,북향,20250429,"['25년이상', '역세권', '1층', '주차가능']",37.488978,127.068242
2522824266,단지내상가,매매,1/1,,"5억 5,000",3,3,남향,20250429,"['10년이내', '역세권', '1층', '주차가능']",37.488175,127.062392
2522800834,일반상가,월세,3/6,500,1억,147,147,남서향,20250429,"['25년이상', '역세권', '중층', '주차가능']",37.483766,127.059586
2523008848,일반상가,월세,B1/5,100,"2,000",124,124,북동향,20250429,"['25년이상', '지하층', '관리비10만원이하', '주차가능']",37.473345,127.050142
2522826130,단지내상가,매매,2/2,,"7억 5,000",9,9,서향,20250429,"['10년이내', '고층', '주차가능', '총2층']",37.484519,127.054179
2522823819,단지내상가,매매,1/2,,"7억 2,000",13,8,남향,20250429,"['25년이상', '1층', '주차가능', '총2층']",37.483975,127.056019
2522844137,일반상가,월세,1/5,210,"2,000",59,59,북동향,20250429,"['25년이상', '1층', '관리비20만원이하', '총5층']",37.478378,127.049309
2522673389,일반상가,월세,1/5,350,"5,000",143,143,북향,20250428,"['25년이상', '1층', '급매', '주차가능']",37.474892,127.050823
2522681856,단지내상가,월세,B1/3,80,500,29,14,동향,20250428,"['25년이상', '지하층', '주차가능', '총3층']",37.482674,127.05443
2522569834,일반상가,월세,B1/2,110,"2,000",113,89,동향,20250428,"['25년이상', '지하층', '주차가능', '총2층']",37.473646,127.0532
2522719791,일반상가,월세,B1/7,150,"2,000",167,155,북서향,20250428,"['25년이상', '지하층', '관리비10만원이하', '주차가능']",37.478048,127.050261
2522721592,복합상가,월세,1/8,250,3억,245,81,남동향,20250428,"['25년이내', '1층', '주차가능', '남동향']",37.482909,127.061297
2522698432,일반상가,월세,1/6,340,"8,000",296,83,남향,20250428,"['25년이내', '1층', '주차가능', '엘리베이터']",37.478652,127.04558
2522568070,일반상가,매매,3/5,,18억,186,142,남동향,20250428,"['25년이내', '중층', '주차가능', '총5층']",37.480956,127.05297
2522755502,일반상가,월세,5/5,350,"4,400",99,99,남향,20250428,"['2년이내', '고층', '주차가능', '총5층']",37.482769,127.061649
2522488953,단지내상가,매매,1/1,,13억,58,35,북서향,20250428,"['10년이내', '1층', '주차가능', '북서향']",37.47864,127.053887
2522484685,단지내상가,매매,1/10,,"9억 8,000",57,25,남동향,20250428,"['4년이내', '1층', '주차가능', '남동향']",37.478506,127.055447
2522596563,일반상가,월세,1/7,220,"3,000",103,100,서향,20250428,"['25년이상', '1층', '주차가능', '서향']",37.478048,127.050261
2522769735,일반상가,월세,B1/3,150,"2,000",98,98,북동향,20250428,"['25년이상', '지하층', '주차가능', '총3층']",37.482856,127.06155
2522734230,일반상가,월세,1/6,130,"1,500",49,33,서향,20250428,"['25년이상', '1층', '관리비20만원이하', '주차가능']",37.47947,127.048348
2522766510,일반상가,월세,B1/3,110,"2,000",113,89,남동향,20250428,"['25년이상', '지하층', '주차가능', '총3층']",37.473646,127.0532
2522436228,일반상가,월세,1/4,350,"6,000",37,26,남서향,20250426,"['25년이상', '1층', '총4층', '남서향']",37.482674,127.061188
2522456279,복합상가,월세,1/5,700,1억,150,135,북동향,20250426,"['25년이상', '역세권', '1층', '주차가능']",37.483714,127.06039
2522458100,복합상가,월세,2/17,600,1억,162,95,남향,20250426,"['10년이내', '역세권', '지상층(1층제외)', '주차가능']",37.489041,127.067178
2522429981,단지내상가,매매,B1/B1,,"1억 2,000",6,6,남동향,20250426,"['25년이상', '역세권', '급매', '지하층']",37.484829,127.057257
2522314229,일반상가,월세,B1/7,150,"2,000",167,167,동향,20250426,"['25년이상', '지하층', '관리비10만원이하', '주차가능']",37.478048,127.050261
2522307852,단지내상가,월세,B1/1,400,"5,000",97,44,북향,20250425,"['4년이내', '지하층', '주차가능', '천장에어컨']",37.485522,127.071367
2522170993,일반상가,월세,B1/4,150,"2,000",98,98,동향,20250425,"['25년이상', '지하층', '주차가능', '총4층']",37.482856,127.06155
2522240130,일반상가,월세,B1/4,200,"3,000",172,150,남서향,20250425,"['25년이내', '지하층', '주차가능', '엘리베이터']",37.475243,127.049206
2522179124,일반상가,월세,3/6,500,"6,000",288,288,남서향,20250425,"['25년이내', '중층', '주차가능', '남서향']",37.474158,127.048781
2522250294,일반상가,월세,1/5,280,"3,500",74,41,남동향,20250425,"['2년이내', '1층', '관리비20만원이하', '주차가능']",37.482769,127.061649
2522142896,일반상가,월세,1/5,"1,100",1억,344,211,서향,20250425,"['25년이상', '1층', '주차가능', '엘리베이터']",37.476576,127.047254
2522301245,복합상가,월세,1/4,100,"1,000",49,26,남서향,20250425,"['25년이상', '1층', '관리비20만원이하', '주차가능']",37.474722,127.053013
2522250464,일반상가,월세,1/7,220,"3,000",103,67,북서향,20250425,"['25년이상', '1층', '주차가능', '북서향']",37.478048,127.050261
2521909453,일반상가,월세,1/3,238,"3,000",122,82,,20250424,"['25년이상', '1층', '주차가능', '총3층']",37.474009,127.053435
2521971903,일반상가,월세,3/5,350,"4,300",106,91,남향,20250424,"['2년이내', '중층', '주차가능', '총5층']",37.482769,127.061649
2521864369,일반상가,월세,1/6,160,"3,000",36,36,북향,20250424,"['25년이내', '융자금적은', '1층', '주차가능']",37.478753,127.048563
2521829861,단지내상가,매매,2/2,,"5억 5,000",11,8,서향,20250424,"['25년이상', '역세권', '고층', '관리비10만원이하']",37.488175,127.062392
2521844713,단지내상가,월세,1/10,180,"3,000",30,18,남향,20250424,"['4년이내', '융자금없는', '1층', '관리비20만원이하']",37.478506,127.055447
2522066807,단지내상가,매매,B1/3,,4억,42,28,남향,20250424,"['25년이상', '역세권', '지하층', '관리비10만원이하']",37.494177,127.075209
2521982486,일반상가,월세,3/6,90,"1,500",66,46,남서향,20250424,"['25년이상', '중층', '관리비10만원이하', '주차가능']",37.476182,127.047573
2522028460,일반상가,월세,2/5,900,1억,382,314,서향,20250424,"['25년이상', '중층', '주차가능', '엘리베이터']",37.476576,127.047254
2522008267,단지내상가,월세,1/3,150,"3,000",20,20,남동향,20250424,"['25년이상', '1층', '주차가능', '총3층']",37.482674,127.05443
2522038908,일반상가,월세,1/6,180,"3,000",46,41,동향,20250424,"['25년이상', '역세권', '1층', '관리비20만원이하']",37.488656,127.066809
2522055025,일반상가,월세,1/5,200,"2,000",438,23,북향,20250424,"['25년이상', '역세권', '1층', '엘리베이터']",37.488617,127.06778
2521985553,일반상가,월세,B1/7,150,"2,000",158,155,남향,20250424,"['25년이상', '지하층', '관리비10만원이하', '주차가능']",37.478048,127.050261
2522025011,일반상가,월세,1/6,150,"2,000",42,34,남향,20250424,"['25년이상', '융자금없는', '역세권', '1층']",37.488513,127.067451
2522026187,일반상가,월세,1/5,170,"2,000",39,25,남향,20250424,"['25년이상', '역세권', '1층', '관리비20만원이하']",37.488617,127.06778
2521986356,일반상가,월세,1/6,340,"8,000",296,82,남향,20250424,"['25년이내', '1층', '주차가능', '천장에어컨']",37.478652,127.04558
2522017473,일반상가,월세,1/4,250,"3,000",89,76,남서향,20250424,"['25년이상', '융자금없는', '1층', '관리비20만원이하']",37.474878,127.053259
2522046273,단지내상가,월세,1/4,950,1억,207,95,남향,20250424,"['4년이내', '융자금없는', '마당', '역세권']",37.488255,127.073878
2521978710,일반상가,월세,1/6,210,"2,000",42,42,북향,20250424,"['25년이상', '융자금없는', '역세권', '1층']",37.489118,127.067521
2522026523,일반상가,매매,2/5,,8억,75,47,북향,20250424,"['25년이상', '역세권', '중층', '관리비10만원이하']",37.488758,127.067327
2521651605,일반상가,월세,1/3,238,"3,000",113,113,남동향,20250423,"['25년이상', '융자금없는', '1층', '주차가능']",37.474009,127.053435
2521359574,일반상가,월세,1/6,250,"3,000",103,81,남동향,20250422,"['25년이내', '1층', '주차가능', '남동향']",37.482909,127.061297
2521560392,단지내상가,매매,1/1,,12억,50,28,북서향,20250422,"['10년이내', '1층', '관리비20만원이하', '주차가능']",37.47864,127.053887
2521625494,일반상가,월세,1/1,600,"5,000",108,108,북향,20250422,"['25년이상', '융자금없는', '1층', '주차가능']",37.47253,127.051942
2521498637,단지내상가,매매,B1/B1,,"1억 8,000",10,10,남서향,20250422,"['25년이상', '역세권', '지하층', '주차가능']",37.484829,127.057257
2521560208,단지내상가,매매,1/1,,25억,94,61,북서향,20250422,"['10년이내', '1층', '주차가능', '북서향']",37.47864,127.053887
2521533115,일반상가,월세,1/3,55,"1,000",40,26,북서향,20250422,"['25년이상', '1층', '관리비10만원이하', '총3층']",37.474003,127.0517
2521488225,일반상가,월세,1/1,600,"5,000",115,108,북향,20250422,"['25년이상', '융자금없는', '1층', '주차가능']",37.47253,127.051942
2521469788,일반상가,월세,2/5,715,"8,700",212,182,남향,20250422,"['2년이내', '융자금없는', '중층', '주차가능']",37.482769,127.061649
2521105236,일반상가,월세,1/8,750,1억,133,133,남동향,20250421,"['25년이내', '1층', '주차가능', '남동향']",37.482248,127.061494
